continent,year,num_distinct_articles,is_oa,bronze,green,gold,hybrid,bronze_green,bronze_gold,bronze_hybrid,green_gold,green_hybrid,gold_hybrid,bronze_green_gold,bronze_green_hybrid,bronze_gold_hybrid,green_gold_hybrid
Oceania,2019,23899,6371,671,4233,3738,1172,4754,4409,1843,5155,4928,4910,5676,5449,5581,5850
Oceania,2018,114670,34987,4420,25682,19080,5600,28662,23500,10020,29664,28028,24680,32644,31008,29100,32010
Oceania,2017,118453,45092,9605,31790,17397,7491,38086,27002,17096,35212,35375,24888,41508,41671,34493,38797
Oceania,2016,109532,44258,10398,31561,15407,7035,38163,25805,17433,34395,34826,22442,40997,41428,32840,37660
Oceania,2015,103712,40892,10868,28950,13762,6249,35771,24630,17117,31095,31927,20011,37916,38748,30879,34072
Oceania,2014,99000,36918,10913,25779,11503,5167,32465,22416,16080,27681,28334,16670,34367,35020,27583,30236
Oceania,2013,95158,33998,11158,23092,9660,4552,30233,20818,15710,24552,25398,14212,31693,32539,25370,26858
Oceania,2012,85507,28453,10638,18643,7339,3743,25229,17977,14381,19934,20579,11082,26520,27165,21720,21870
Oceania,2011,79403,24605,10353,15449,5122,3055,22015,15475,13408,16404,17086,8177,22970,23652,18530,18041
Oceania,2010,74623,21752,9986,12984,3753,2288,19493,13739,12274,13991,14239,6041,20500,20748,16027,15246
Oceania,2009,68747,19162,9138,11509,2519,2171,17384,11657,11309,12099,12698,4690,17974,18573,13828,13288
Europe,2019,163276,57928,4956,38185,31318,13224,41864,36274,18180,46808,45628,44542,50487,49307,49498,54251
Europe,2018,842094,329252,36881,235118,158405,67894,259126,195286,104775,278485,261893,226299,302493,285901,263180,305260
Europe,2017,880534,411694,73104,288597,144786,85623,336154,217890,158727,327528,325234,230409,375085,372791,303513,364165
Europe,2016,829927,393911,73406,276477,125904,86621,321528,199310,160027,309295,316070,212525,354346,361121,285931,348888
Europe,2015,793441,360237,74011,246999,115337,77534,292531,189348,151545,275556,286164,192871,321088,331696,266882,314721
Europe,2014,772121,328120,77345,221541,98922,65529,267553,176267,142874,246640,257039,164451,292652,303051,241796,282138
Europe,2013,746638,295357,80863,195675,81808,52522,246083,162671,133385,215803,224846,134330,266211,275254,215193,244974
Europe,2012,695120,262388,81496,170816,65072,45567,219445,146568,127063,187969,196633,110639,236598,245262,192135,213786
Europe,2011,654792,231035,77951,149579,48648,37735,197126,126599,115686,162732,170350,86383,210279,217897,164334,183503
Europe,2010,649256,211980,77144,134476,40359,29773,181544,117503,106917,148250,151157,70132,195318,198225,147276,164931
Europe,2009,625813,189964,74079,119176,29559,26307,164980,103638,100386,129453,133907,55866,175257,179711,129945,144184
Asia,2019,194823,54895,5891,28605,33953,10528,33387,39844,16419,42880,35846,44481,47662,40628,50372,50121
Asia,2018,951286,297979,42068,160428,169787,59248,192682,211855,101316,228562,197603,229035,260816,229857,271103,265737
Asia,2017,930331,347196,78939,180726,151202,76656,242261,230141,155595,236726,229681,227858,298261,291216,306797,285681
Asia,2016,841269,329425,83874,174338,130693,71601,239408,214567,155475,218999,219704,202294,284069,284774,286168,264365
Asia,2015,774186,293164,82150,154582,109193,62698,217531,191343,144848,188939,195869,171891,251888,258818,254041,230226
Asia,2014,767811,266490,87571,134785,91004,51223,202660,178575,138794,164420,168997,142227,232295,236872,229798,198632
Asia,2013,719037,236303,87572,114172,70748,43988,183488,158320,131560,137236,143937,114736,206552,213253,202308,167001
Asia,2012,636465,207640,85216,94250,53486,39308,161999,138702,124524,112339,121811,92794,180088,189560,178010,139900
Asia,2011,577341,168163,74296,75480,35594,31577,134707,109890,105873,86612,97814,67171,145839,157041,141467,108946
Asia,2010,495150,139183,66804,62555,27128,20642,115149,93932,87446,72446,76708,47770,125040,129302,114574,86599
Asia,2009,439293,120446,63299,52419,18793,16318,102740,82092,79617,59032,63522,35111,109353,113843,98410,70135
Americas,2019,179453,49610,5952,28426,29582,7932,33230,35534,13884,39632,33612,37514,44436,38416,43466,44818
Americas,2018,902680,293329,37460,178371,168163,46782,203401,205623,84242,244397,202291,214945,269427,227321,252405,268317
Americas,2017,934382,384213,86724,235730,157790,65897,288394,244514,152621,295507,271795,223687,348171,324459,310411,331572
Americas,2016,869568,404007,88586,254594,139818,79802,304483,228404,168388,307446,301289,219620,357335,351178,308206,354141
Americas,2015,824911,386639,89801,249866,127781,73756,298272,217582,163557,294654,293461,201537,343060,341867,291338,338249
Americas,2014,806020,363427,92293,240404,111878,61797,288874,204171,154090,279272,276130,173675,327742,324600,265968,314998
Americas,2013,776521,340011,93463,226079,94801,53544,274998,188264,147007,259368,257824,148345,308287,306743,241808,291113
Americas,2012,731608,310476,91106,204309,80532,47943,252003,171638,139049,235152,231965,128475,282846,279659,219581,262808
Americas,2011,700363,285391,92188,185536,63145,42679,234755,155333,134867,211036,210691,105824,260255,259910,198012,236191
Americas,2010,672240,262557,86991,169311,56088,34291,214496,143079,121282,197350,189351,90379,242535,234536,177370,217390
Americas,2009,635320,235802,84094,155748,40303,30435,199284,124397,114529,174629,173405,70738,218165,216941,154832,192286
Africa,2019,13674,4922,429,2388,3326,933,2746,3755,1362,3875,3078,4259,4233,3436,4688,4565
Africa,2018,76413,29983,3017,16449,18963,5643,18720,21980,8660,24133,20029,24606,26404,22300,27623,27713
Africa,2017,74806,34474,5255,18450,17839,7370,22193,23094,12625,25599,23584,25209,29342,27327,30464,30733
Africa,2016,69629,33470,5538,18404,15427,7678,22102,20965,13216,24491,23685,23105,28189,27383,28643,29772
Africa,2015,61639,29484,5338,16697,13152,6646,20278,18490,11984,21157,21443,19798,24738,25024,25136,25903
Africa,2014,58527,28623,5819,15029,11836,6889,18849,17655,12708,19563,20270,18725,23383,24090,24544,24804
Africa,2013,50602,23860,5394,12726,9226,5430,16294,14620,10824,16313,16706,14656,19881,20274,20050,20293
Africa,2012,43559,19501,5105,10706,7639,3543,14023,12744,8648,13673,13219,11182,16990,16536,16287,16186
Africa,2011,37909,15529,4559,8892,5660,2503,11813,10219,7062,10917,10584,8163,13838,13505,12722,12609
Africa,2010,33393,12347,4176,7142,3928,1757,9682,8104,5933,8615,8335,5685,11155,10875,9861,9808
Africa,2009,29044,9648,3263,5631,2728,1497,7648,5991,4760,6575,6688,4225,8592,8705,7488,7632
