year,num_distinct_articles,is_oa,bronze,green,gold,hybrid,bronze_green,bronze_gold,bronze_hybrid,green_gold,green_hybrid,gold_hybrid,bronze_green_gold,bronze_green_hybrid,bronze_gold_hybrid,green_gold_hybrid
2019,476300,141459,15320,79692,83588,27186,91946,98908,42506,111557,97356,110774,123811,109610,126094,129221
2018,2414427,809243,106287,480435,444872,152634,556693,551159,258921,650726,562741,597506,726984,638999,703793,733032
2017,2465302,1001925,211755,587674,407374,201802,736677,619129,413557,738114,702539,609176,887117,851542,820931,852979
2016,2295724,992337,218561,594011,356979,210141,742466,575540,428702,721346,716601,567120,869801,865056,785681,843936
2015,2164263,916870,217639,551366,316961,189700,696552,534600,407339,656028,667060,506661,801214,812246,724300,771722
2014,2132522,850209,227825,508241,273915,161308,658339,501740,389133,600021,608413,435223,750119,758511,663048,700193
2013,2038785,772182,231644,456602,225038,134590,612197,456682,366234,531755,541487,359628,687350,697082,591272,616640
2012,1876573,688919,226557,398387,182322,117389,549134,408879,343946,463209,473406,299711,613956,624153,526268,538228
2011,1758011,602033,214320,347871,135409,98014,491080,349729,312334,396803,409930,233423,540012,553139,447743,458862
2010,1655257,537891,201173,309621,113550,74856,441784,314723,276029,359354,356036,188406,491517,488199,389579,405769
2009,1551804,477999,191926,276881,81768,65322,403104,273694,257248,311504,317199,147090,437727,443422,339016,351822
